band,link,genres,start_year,end_year,hits
baby chaos,http://dbpedia.org/resource/Baby_Chaos,Rock music,1993,2003,0
babylon zoo,http://dbpedia.org/resource/Babylon_Zoo,Alternative rock|Glam rock|Industrial rock,1992,2000,1
baddies,http://dbpedia.org/resource/Baddies,Alternative rock|Indie rock|Indietronica,2007,2012,0
badfinger,http://dbpedia.org/resource/Badfinger,Power pop|Rock music,1961,1969,21
balaam and the angel,http://dbpedia.org/resource/Balaam_and_the_Angel,Hard rock|Rock music,1983,1989,0
ballboy,http://dbpedia.org/resource/Ballboy_(band),Indie rock|Indietronica|Post-punk,1997,0,1
band of skulls,http://dbpedia.org/resource/Band_of_Skulls,Blues rock|Garage rock|Hard rock|Indie rock|Indietronica,2004,0,0
bang bang machine,http://dbpedia.org/resource/Bang_Bang_Machine,Alternative rock|Indie rock|Indietronica,1989,1996,0
bark psychosis,http://dbpedia.org/resource/Bark_Psychosis,Post-rock,1986,1994,1
barse,http://dbpedia.org/resource/Barse_(band),Punk rock,1997,2006,0
basczax,http://dbpedia.org/resource/Basczax,Post-punk,2010,2010,0
basement,http://dbpedia.org/resource/Basement_(band),Alternative rock|Punk rock,2009,0,0
bassknives,http://dbpedia.org/resource/Bassknives,Punk rock,2005,2005,0
battle,http://dbpedia.org/resource/Battle_(UK_band),Indie rock|Indietronica,2005,2007,10
bay city rollers,http://dbpedia.org/resource/Bay_City_Rollers,Glam rock|Pop rock|Power pop,1966,0,1
be quiet. shout loud!,http://dbpedia.org/resource/Be_Quiet._Shout_Loud!,Indie rock|Indietronica,2008,0,0
be-bop deluxe,http://dbpedia.org/resource/Be-Bop_Deluxe,Art rock|Glam rock|New wave,1972,1978,0
beady eye,http://dbpedia.org/resource/Beady_Eye,Alternative rock|Indie rock|Indietronica|Rock music,2009,0,1
bearfoot beware,http://dbpedia.org/resource/Bearfoot_Beware,Alternative rock,2010,0,0
beshara,http://dbpedia.org/resource/Beshara_(band),New wave,1976,1976,0
big big train,http://dbpedia.org/resource/Big_Big_Train,Post-rock|Progressive rock,1990,0,0
big country,http://dbpedia.org/resource/Big_Country,Alternative rock|Folk rock|New wave|Post-punk,1981,2000,17
big flame,http://dbpedia.org/resource/Big_Flame_(band),Indie rock|Indietronica|Post-punk,1983,1983,0
big leaves,http://dbpedia.org/resource/Big_Leaves,Indie rock|Indietronica,1988,1988,0
big sound authority,http://dbpedia.org/resource/Big_Sound_Authority,New wave|Pop rock|Rock music,1983,1986,0
big strides,http://dbpedia.org/resource/Big_Strides,Funk rock,2003,0,0
bikini atoll,http://dbpedia.org/resource/Bikini_Atoll_(band),Post-rock,1999,2006,0
bilge pump,http://dbpedia.org/resource/Bilge_Pump_(band),Experimental rock|Noise rock|Post-punk,1994,0,0
billy liar,http://dbpedia.org/resource/Billy_Liar_(band),Punk rock|Rock music,2006,2006,0
billy mahonie,http://dbpedia.org/resource/Billy_Mahonie,Post-rock,1997,2010,0
billy ruffian,http://dbpedia.org/resource/Billy_Ruffian_(band),Alternative rock|Indie rock|Indietronica,2005,2011,0
birdland,http://dbpedia.org/resource/Birdland_(band),Alternative rock|Indie rock|Indietronica,1988,1993,0
bis,http://dbpedia.org/resource/Bis_(band),Indie rock|Indietronica,1994,2003,37
biting tongues,http://dbpedia.org/resource/Biting_Tongues,Experimental rock|Post-punk,1979,1979,0
bitter ruin,http://dbpedia.org/resource/Bitter_Ruin,Alternative rock,2007,0,0
bivouac,http://dbpedia.org/resource/Bivouac_(band),Alternative rock,1990,1996,1
gorky's zygotic mynci,http://dbpedia.org/resource/Gorky's_Zygotic_Mynci,Alternative rock|Folk rock,1991,2006,0
bear's den,http://dbpedia.org/resource/Bear's_Den_(band),Alternative rock|Folk rock,2012,0,0
black box recorder,http://dbpedia.org/resource/Black_Box_Recorder,Indie rock|Indietronica,1998,2003,4
black cat bones,http://dbpedia.org/resource/Black_Cat_Bones,Blues rock,1966,1971,0
black grape,http://dbpedia.org/resource/Black_Grape,Alternative rock|Funk rock,1993,0,4
black jackson,http://dbpedia.org/resource/Black_Jackson,Alternative rock|Heavy metal|Indie rock|Indietronica|Punk rock,2000,0,0
black rose,http://dbpedia.org/resource/Black_Rose_(UK_band),Hard rock|Heavy metal,1980,1989,2
black sabbath,http://dbpedia.org/resource/Black_Sabbath,Heavy metal,1968,2006,190
black swan lane,http://dbpedia.org/resource/Black_Swan_Lane,Alternative rock|Indie rock|Indietronica,2007,0,0
black widow,http://dbpedia.org/resource/Black_Widow_(band),Hard rock|New wave|Progressive rock,1969,1973,4
